temprature-zone1,temprature-zone2,humidity-zone1,humidity-zone2,light1-zone1,light2-zone1,water-zone1,feed-zone1
25.43,35.97,48.15,42.28,35.13,40.86,103.25,82.95
25.89,30.39,53.29,42.6,46.49,57.31,109.4,87.67
26.58,36.22,52.1,38.72,29.37,33.3,93.1,95.87
28.07,37.05,45.08,43.31,35.95,49.08,103.1,95.3
29.5,34.72,48.74,42.73,21.84,47.7,93.52,83.02
25.7,34.75,54.95,39.06,22.35,41.65,105.21,85.63
31.28,33.17,51.52,35.94,45.33,36.33,104.14,81.83
32.7,37.57,45.44,39.59,33.39,41.92,107.11,92.24
27.02,38.68,48.85,40.83,36.14,51.1,100.29,92.5
31.18,36.26,52.7,38.0,24.05,38.67,91.12,97.22
30.4,37.53,48.9,38.09,36.76,37.34,109.01,92.31
31.69,39.6,46.52,37.91,33.9,40.93,103.38,88.36
32.17,32.1,49.95,39.81,28.99,59.7,103.29,82.49
29.06,32.85,46.81,38.19,40.77,59.77,105.24,96.4
26.41,37.71,52.52,43.12,37.04,40.33,107.5,95.26
31.65,34.72,54.42,39.29,32.28,56.25,105.32,94.21
29.68,30.65,45.18,36.14,45.56,59.5,92.01,96.05
27.99,36.94,52.18,44.83,40.7,50.59,109.67,90.25
32.03,30.67,46.96,43.8,41.85,49.13,97.9,84.67
30.29,34.49,48.03,37.12,24.98,48.36,108.17,97.21
32.42,33.77,54.45,38.26,20.51,45.17,90.41,90.53
34.53,32.21,49.34,41.83,25.37,51.39,107.1,97.4
29.9,35.76,55.0,38.53,45.05,45.16,90.21,96.64
26.66,33.57,53.71,36.7,41.4,39.12,109.41,83.3
29.81,37.54,46.66,42.8,35.06,56.89,94.99,91.35
29.2,37.61,53.49,42.66,36.25,34.23,91.06,91.81
28.59,33.35,52.19,40.55,25.67,36.15,98.49,98.34
25.58,32.08,51.74,35.86,27.99,53.45,104.32,80.99
33.13,39.94,51.05,35.05,45.59,31.24,108.54,90.12
34.77,39.06,45.66,43.45,25.95,51.98,108.7,88.48
32.76,31.22,51.27,44.59,34.45,31.94,103.7,81.42
26.15,34.91,54.39,40.78,31.68,45.59,103.05,83.77
30.18,32.45,52.0,44.09,29.04,55.57,91.3,89.7
30.78,33.26,51.68,43.46,33.64,30.18,109.75,89.55
32.36,36.92,49.08,37.33,33.3,40.2,108.31,91.57
27.16,31.36,45.55,35.75,41.39,37.52,94.18,85.98
26.15,38.75,47.11,35.62,47.59,41.07,102.35,90.43
27.23,33.13,45.12,41.18,26.38,49.51,94.15,95.77
33.2,34.13,49.76,44.42,28.13,50.92,93.07,90.87
27.53,37.98,47.45,43.08,42.47,58.82,95.43,90.01
25.2,34.86,49.1,42.25,27.36,36.43,91.62,81.38
28.35,33.91,50.13,35.55,36.34,56.66,103.57,95.15
30.55,35.02,51.11,35.47,24.99,41.24,105.34,89.33
28.28,38.42,53.29,38.18,21.86,57.87,101.15,88.66
26.11,32.12,53.2,42.08,21.18,52.97,95.67,89.59
27.05,38.24,49.83,44.18,25.95,45.26,94.41,88.06
32.19,30.19,51.56,43.92,41.09,37.92,103.74,82.66
26.59,36.53,45.96,40.87,38.73,38.1,101.47,85.99
30.68,33.65,45.5,38.63,34.44,40.33,98.02,87.45
30.36,38.06,49.56,37.84,31.83,57.71,97.43,90.85
28.74,36.28,46.94,39.09,30.82,40.31,91.82,88.92
27.89,38.06,53.97,41.49,48.01,33.57,98.07,95.68
25.72,32.1,53.89,42.65,33.36,54.56,104.51,81.17
29.33,31.4,51.39,36.2,25.75,42.42,103.39,99.62
25.25,38.72,45.38,35.82,36.7,53.99,91.37,90.59
29.61,36.04,51.93,39.22,29.87,37.86,100.11,82.55
25.61,39.99,53.49,43.87,25.27,45.0,107.36,98.6
33.97,35.91,50.3,37.66,34.63,38.55,108.5,89.33
28.09,37.1,51.35,44.87,39.46,47.68,93.2,94.06
30.19,34.81,51.46,39.25,21.29,49.4,93.35,99.21
33.56,34.46,51.23,37.9,35.3,51.04,96.24,88.26
25.17,36.71,49.62,40.22,45.14,47.22,102.52,96.34
27.21,38.23,48.33,39.22,20.56,46.6,102.59,98.87
30.33,33.29,53.03,38.2,21.62,36.77,95.81,80.95
27.18,37.08,47.35,38.2,22.28,37.73,96.35,91.53
29.94,38.59,47.33,38.92,49.72,49.19,100.2,95.69
29.74,33.3,51.09,40.05,31.02,52.77,105.77,86.57
28.57,37.78,51.02,42.68,28.27,33.23,107.19,98.02
26.52,35.88,53.9,38.96,34.05,38.06,103.18,83.72
29.29,35.6,48.6,44.36,30.1,43.73,105.21,82.32
34.38,37.65,48.69,37.84,48.17,57.32,95.04,85.26
33.6,33.09,45.01,36.46,25.93,59.64,103.96,98.95
31.63,31.93,48.53,42.36,48.29,38.35,106.49,97.06
30.88,36.39,46.18,39.36,49.62,51.15,91.21,99.0
28.6,38.76,45.56,44.61,34.12,44.73,90.46,90.59
29.78,31.58,47.02,44.53,39.18,37.6,98.51,87.53
31.29,39.21,51.76,38.02,33.33,51.45,96.24,92.4
28.23,33.47,52.33,38.56,37.17,51.74,94.63,81.46
28.86,36.72,49.67,42.93,44.95,36.46,106.47,82.46
33.61,35.52,50.79,41.6,34.19,30.15,101.16,87.53
27.85,35.72,45.41,36.52,36.41,57.79,93.75,85.83
29.24,30.6,50.28,44.72,32.7,52.61,98.34,87.9
28.59,38.71,54.91,44.34,38.58,40.03,90.92,85.72
28.17,34.93,47.47,39.08,32.36,43.34,107.06,95.79
34.03,35.99,48.0,35.54,27.03,45.89,90.73,87.87
31.98,40.0,52.39,42.11,43.99,47.96,93.86,99.52
26.3,30.54,48.02,40.79,29.44,51.67,108.79,82.06
34.19,39.22,54.47,37.25,41.52,52.71,108.66,94.1
30.18,39.02,52.57,37.44,40.17,41.73,100.27,97.03
34.41,36.42,50.44,35.08,23.85,31.59,101.66,80.48
32.55,30.94,46.21,41.22,41.68,34.08,98.31,80.34
33.44,39.08,52.81,37.98,37.38,37.05,96.3,80.36
33.16,35.04,46.91,38.88,38.35,35.31,104.81,87.66
25.96,30.34,54.21,35.65,28.49,33.38,108.09,88.71
32.72,30.0,49.56,42.45,35.24,54.98,92.6,85.61
26.85,37.04,46.47,35.35,39.46,50.95,106.11,97.12
30.01,30.89,48.42,35.6,44.06,46.88,107.97,95.07
27.32,35.62,54.77,41.91,22.22,33.94,101.76,95.88
27.42,34.29,49.6,40.25,26.7,53.78,94.11,98.63
32.01,38.68,52.95,44.91,39.35,41.53,99.13,83.27
26.58,33.93,48.96,38.9,40.28,50.52,102.72,96.02
27.36,39.36,48.84,35.84,38.67,33.88,90.95,80.52
27.22,32.01,45.38,39.2,27.74,54.0,107.21,95.51
33.92,39.67,48.01,37.91,37.22,56.26,100.69,90.12
29.42,31.16,49.48,44.19,49.89,48.36,94.66,80.11
34.26,32.5,49.17,44.25,26.45,51.83,95.12,89.13
25.04,30.15,53.14,44.25,49.77,42.44,90.19,96.33
31.05,34.44,52.71,41.51,24.97,51.85,99.38,96.6
29.28,32.95,49.64,44.76,48.95,55.18,94.39,82.15
27.76,30.74,46.44,37.53,41.0,34.55,106.68,82.08
31.52,37.32,49.16,41.78,25.35,33.84,94.12,87.66
27.72,39.73,49.34,43.93,39.47,51.79,98.12,94.23
34.14,36.97,52.2,36.48,20.11,48.71,96.62,83.49
34.05,39.54,54.31,41.41,35.73,43.54,104.66,90.0
28.69,37.61,45.29,40.68,25.23,47.7,100.18,81.59
33.29,32.98,48.87,37.34,48.59,46.39,91.59,84.78
29.84,30.56,54.97,42.87,37.58,45.26,104.53,82.46
31.92,37.92,49.56,38.7,49.96,57.38,107.92,90.18
25.81,31.94,47.51,42.71,41.98,40.69,97.6,96.72
33.27,30.2,45.94,36.83,37.19,32.91,91.29,88.48
27.36,35.52,47.55,43.53,21.84,45.19,95.95,93.91
30.3,30.54,47.95,43.64,42.22,43.36,96.65,97.63
34.21,36.25,53.09,38.8,37.5,34.25,102.65,88.62
27.02,35.33,51.12,42.41,40.24,30.94,92.74,82.0
33.67,39.49,47.65,44.44,40.48,37.37,103.11,81.42
28.02,37.93,47.58,42.54,31.6,58.83,106.76,98.83
27.88,31.22,46.2,41.67,43.56,57.78,106.29,86.31
25.29,31.61,53.58,39.43,37.01,36.97,90.57,94.34
28.75,32.25,54.16,37.34,45.05,58.88,98.52,96.35
27.69,30.2,46.53,38.3,35.62,30.99,101.23,94.38
27.18,36.04,45.64,38.21,43.94,33.42,95.36,97.28
32.21,34.69,50.58,39.74,44.78,49.55,99.33,96.43
34.96,36.81,52.93,42.11,45.34,42.47,101.77,91.36
34.2,31.46,53.14,41.33,38.38,31.98,92.33,80.05
29.37,30.46,47.49,44.83,39.69,59.46,102.39,95.66
27.25,34.29,48.03,36.05,33.8,57.91,98.3,92.45
27.92,31.5,51.18,44.02,44.15,58.02,100.53,93.44
33.64,30.93,50.56,43.32,39.4,59.02,96.1,95.83
25.16,32.04,53.04,44.48,34.89,36.72,98.33,99.38
30.37,36.16,52.12,35.32,22.16,35.43,91.43,85.71
33.39,30.69,53.41,40.08,20.83,31.84,107.88,93.6
33.21,34.35,53.66,41.62,44.44,47.35,96.01,97.64
27.61,36.0,53.66,38.52,24.07,59.0,90.41,99.29
29.16,39.13,51.97,39.32,36.46,49.05,92.46,89.69
25.19,31.5,47.88,42.69,43.53,31.51,90.92,80.02
25.87,32.49,50.97,38.54,33.53,39.47,92.07,93.05
31.08,37.08,49.41,42.2,41.33,35.19,103.92,86.09
33.13,37.28,47.99,36.93,32.54,45.16,97.77,93.39
31.59,37.11,51.26,35.82,32.77,59.05,104.25,93.26
30.45,31.73,51.18,35.59,37.35,42.5,94.56,87.02
25.32,34.05,52.79,36.49,33.9,35.37,90.69,87.23
27.43,33.68,51.73,41.84,24.76,56.66,105.86,81.12
34.59,34.37,52.33,37.51,22.46,55.8,99.26,94.79
30.78,39.25,52.91,41.32,20.14,35.59,93.89,94.78
33.44,35.52,51.31,39.15,21.37,49.19,97.16,83.52
30.97,32.89,45.64,38.66,37.74,53.18,101.72,95.14
34.63,35.93,50.57,37.05,27.99,56.13,96.23,99.49
26.42,39.98,50.41,35.08,49.44,33.54,101.89,98.4
27.7,32.76,48.52,36.59,24.27,47.21,101.22,98.34
29.89,30.93,52.52,40.19,35.14,41.86,107.82,91.55
32.04,30.74,45.34,35.38,25.77,54.18,92.45,99.72
32.42,32.8,52.2,37.74,35.94,36.32,92.35,96.76
30.02,39.39,45.91,43.89,32.39,40.14,100.11,93.14
28.4,34.69,48.32,39.73,34.79,37.8,99.86,80.54
33.57,34.18,53.48,36.0,47.94,53.78,105.2,83.09
30.13,31.9,50.8,41.68,49.1,39.03,109.87,85.96
30.97,32.36,52.15,36.45,43.22,59.19,100.2,93.5
26.73,34.86,52.77,44.75,22.55,39.83,98.79,82.61
30.98,35.74,50.02,43.89,37.14,56.67,102.28,96.48
28.35,35.64,48.24,44.4,35.89,41.22,104.73,96.69
28.75,38.58,50.96,39.74,33.79,55.86,98.25,91.72
33.16,39.0,54.07,40.5,36.34,43.95,108.82,88.72
33.27,31.32,46.67,43.07,36.77,48.82,102.92,91.61
26.61,39.63,49.85,39.88,20.16,44.41,102.95,96.74
32.88,39.24,49.27,36.31,34.1,40.01,106.53,97.36
30.09,37.79,49.31,42.0,35.2,44.53,98.71,90.09
28.9,32.06,47.76,44.53,37.03,46.92,99.7,97.28
34.87,38.8,49.95,43.6,34.93,43.54,109.23,84.19
27.34,37.38,54.35,41.78,31.56,39.05,99.62,92.79
33.06,38.79,51.55,41.45,32.61,47.37,102.13,85.61
28.54,34.8,48.08,39.18,37.03,50.1,94.47,88.52
32.48,30.26,48.83,43.19,37.0,41.07,90.56,98.41
25.37,39.84,51.63,38.46,21.63,51.42,100.5,99.3
27.24,38.42,54.8,35.52,29.46,45.34,99.05,98.87
28.14,37.02,49.33,44.19,35.81,34.74,94.16,82.07
33.92,39.88,48.39,43.45,40.13,36.31,109.4,88.07
29.43,39.7,50.66,36.15,44.73,47.49,104.9,81.86
28.21,36.61,54.87,36.73,47.37,44.66,97.23,86.34
29.22,35.55,46.34,36.08,32.47,46.86,101.55,86.44
26.98,35.24,51.0,41.36,48.09,51.49,100.02,82.23
32.37,35.71,49.28,37.59,41.25,56.33,91.2,99.88
33.97,39.61,53.45,38.4,25.18,32.01,96.78,81.39
27.96,37.21,50.21,42.41,40.44,39.2,101.13,86.17
35.0,30.3,50.75,44.9,20.45,50.88,102.61,93.31
25.94,35.52,47.38,44.33,38.65,33.73,102.85,87.32
34.98,31.24,54.19,39.77,42.21,54.32,96.17,95.5
25.69,36.7,50.44,42.95,23.03,53.71,91.65,82.7
30.57,33.42,51.7,43.93,32.8,30.84,99.55,88.02
25.46,30.32,54.72,35.16,30.28,58.08,95.07,82.99
31.44,37.05,46.15,42.24,20.45,37.4,109.01,91.48
33.09,39.79,48.76,38.99,38.0,34.27,104.91,84.46
31.56,31.56,45.72,44.99,22.72,31.66,100.47,87.62
27.52,34.1,47.14,39.5,48.13,33.45,99.72,84.22
25.83,34.42,52.44,37.91,37.51,38.36,108.52,93.11
27.32,38.08,54.59,44.8,34.29,42.31,104.09,89.31
32.04,39.43,54.41,35.16,49.06,52.09,96.06,84.42
28.85,31.77,52.39,37.08,35.84,57.07,105.5,90.86
34.73,32.03,45.17,38.75,49.69,55.49,94.49,92.82
28.86,38.98,50.56,37.19,26.47,58.08,105.63,84.09
32.99,33.89,45.79,35.66,39.53,37.96,100.77,84.33
29.51,35.34,46.54,36.64,41.19,55.64,104.31,80.45
30.08,35.24,45.5,40.83,47.0,40.68,102.72,98.75
32.6,31.25,52.08,41.7,30.17,53.41,91.84,85.15
30.57,33.66,50.64,39.25,30.49,31.23,93.42,90.53
28.98,30.97,52.87,40.23,30.36,51.83,90.3,94.71
26.43,31.6,51.01,44.3,32.96,59.66,94.72,91.72
27.84,33.57,50.92,39.9,46.14,33.77,99.54,98.08
32.51,35.85,47.52,37.23,39.96,42.22,99.62,95.03
30.41,33.52,51.95,35.29,40.21,50.66,97.62,88.32
34.05,39.59,48.9,37.4,25.44,44.3,107.14,99.5
29.11,30.62,49.35,37.5,27.01,40.92,95.63,92.43
28.93,34.41,49.13,37.64,35.63,32.32,107.33,95.05
30.94,30.74,51.43,44.63,31.02,39.69,102.74,87.17
34.34,35.45,47.46,43.07,45.01,40.1,100.95,90.83
33.19,38.51,47.39,38.93,33.36,33.88,96.6,95.73
34.79,38.62,53.65,43.32,33.52,45.12,97.21,99.56
27.56,37.08,54.6,36.13,28.04,50.97,107.47,94.79
29.71,39.83,53.44,35.08,36.39,53.19,106.89,95.01
31.94,31.95,50.88,43.16,21.63,50.97,97.39,90.33
25.2,36.66,47.45,44.84,21.46,57.98,105.79,81.65
26.01,34.94,48.72,44.83,47.62,43.16,96.68,93.99
28.88,32.49,49.68,41.76,31.59,36.13,99.05,82.26
34.03,35.77,49.56,41.14,30.9,45.07,103.13,92.54
26.71,34.03,53.77,40.6,20.76,49.64,98.74,98.08
34.33,36.97,46.0,39.64,41.39,30.35,109.56,85.23
30.95,34.7,46.09,43.71,33.24,55.23,90.26,89.43
31.92,34.99,54.16,43.29,41.0,54.23,102.81,88.97
29.36,36.81,49.98,37.86,28.57,35.24,92.57,87.87
34.56,31.75,46.05,41.57,28.68,53.78,100.87,97.04
28.73,39.07,49.37,37.48,23.77,52.19,90.87,86.78
32.42,38.47,52.98,35.56,28.05,59.99,91.39,91.34
31.95,34.79,50.11,38.02,24.24,55.08,104.32,90.22
25.58,32.48,54.32,42.6,47.97,57.26,95.14,96.07
28.94,36.32,48.97,41.54,48.27,33.97,94.85,90.94
33.94,36.49,46.25,39.04,28.46,37.89,90.95,86.12
25.07,37.0,54.59,44.56,41.31,51.88,102.45,83.35
32.47,33.45,50.33,39.26,46.68,55.9,96.8,88.21
26.57,30.98,51.41,42.79,37.38,55.53,101.58,87.48
31.02,33.98,50.35,37.2,47.21,34.52,109.65,86.7
30.06,34.83,47.94,38.36,33.31,48.37,103.24,96.47
29.52,30.53,51.08,43.03,23.01,40.11,102.32,90.03
33.47,31.4,52.66,44.14,40.93,34.06,96.57,97.55
33.8,30.09,53.75,35.59,20.05,36.55,94.19,87.99
31.61,36.77,52.27,37.76,22.69,33.76,94.22,80.66
26.22,38.63,45.67,35.81,26.41,45.59,92.96,81.54
29.65,37.2,48.37,44.86,28.39,56.55,100.88,90.73
28.7,32.99,52.07,44.35,42.39,40.17,90.03,80.67
31.37,35.22,45.09,39.31,27.41,32.74,97.91,89.76
26.02,39.49,49.96,37.97,36.83,45.18,103.04,82.54
29.07,30.7,54.28,38.03,21.62,30.53,103.03,80.61
28.12,30.29,46.29,39.18,34.74,52.01,109.11,85.58
28.84,35.11,53.17,38.56,35.01,46.03,103.34,92.87
34.41,31.66,49.91,39.21,34.65,55.63,101.09,88.9
32.25,32.68,47.99,40.35,24.39,54.0,106.32,93.81
30.44,31.16,50.02,41.02,29.86,42.79,90.99,88.91
28.58,36.49,48.82,39.04,40.78,35.55,107.26,88.3
27.94,30.7,48.77,44.62,30.72,59.0,94.1,99.3
30.39,35.65,51.4,43.75,26.03,45.09,91.05,91.62
26.73,39.21,48.91,44.65,48.56,51.13,95.59,83.15
26.54,39.65,53.24,36.87,45.01,36.66,101.59,95.63
28.31,30.89,54.28,38.61,20.44,53.19,102.5,97.09
34.03,37.3,46.05,43.06,32.21,41.26,95.55,88.29
28.91,33.81,47.19,37.27,28.31,37.6,97.41,86.98
30.67,33.0,50.45,42.72,43.47,39.07,90.91,85.52
33.07,37.77,49.76,35.38,49.84,55.66,106.3,98.5
27.54,39.53,45.65,38.14,43.08,30.09,90.05,99.14
32.96,37.12,53.29,39.87,44.04,31.69,91.55,82.45
30.26,36.82,45.44,44.65,36.73,49.05,92.81,89.27
29.6,32.73,54.86,38.73,35.82,45.59,98.87,91.22
34.8,31.59,51.7,40.92,20.73,54.51,108.19,95.32
29.3,32.49,52.14,39.04,34.53,44.95,93.86,88.11
31.97,35.15,46.43,39.82,41.04,49.56,93.01,83.16
25.89,35.75,52.02,42.05,22.81,31.87,107.1,88.34
30.43,34.07,49.26,41.69,45.44,44.15,103.17,93.1
32.32,34.99,48.14,41.68,22.59,33.53,90.62,82.32
30.68,31.5,45.0,39.03,24.2,52.13,96.2,88.59
27.9,32.58,45.49,42.52,32.82,41.35,99.95,85.11
33.57,35.31,45.81,35.89,30.58,43.61,107.14,94.69
34.04,33.08,48.9,40.91,25.74,35.28,98.35,96.58
28.84,37.13,46.55,39.52,38.96,54.42,97.56,92.47
32.13,31.53,54.66,39.7,37.54,51.47,100.32,91.78
33.02,35.41,47.32,38.99,47.26,31.02,109.32,80.28
29.33,31.03,50.27,40.31,21.69,53.3,107.25,89.78
34.89,32.94,45.94,38.19,35.32,52.65,100.49,83.58
29.31,32.3,49.28,42.54,24.79,55.98,103.76,96.65
27.19,32.4,48.45,43.16,20.47,55.7,98.79,99.18
25.3,32.93,50.67,41.18,26.64,56.13,104.95,98.07
33.74,31.68,54.81,44.13,26.24,46.27,102.19,94.45
34.75,33.81,45.86,43.81,25.26,33.64,90.55,80.76
27.97,32.16,49.57,41.8,23.49,56.79,97.97,83.29
32.99,35.17,54.85,41.21,39.28,34.3,103.74,84.17
27.21,38.2,46.24,39.53,21.32,46.84,106.02,86.6
30.37,34.72,52.99,41.08,47.01,45.08,91.85,86.31
28.09,39.82,47.87,40.81,28.79,34.57,90.67,95.96
25.06,35.48,51.08,39.06,34.39,54.74,99.67,89.0
29.76,33.41,47.86,41.95,42.92,57.24,98.71,88.65
34.75,31.74,53.4,36.26,32.04,30.78,96.25,87.84
27.75,35.3,52.92,40.82,32.81,58.29,95.68,80.72
29.0,30.24,45.35,40.58,29.18,48.17,108.68,81.7
32.21,30.08,50.77,41.27,46.82,35.65,99.83,80.79
27.62,34.85,50.08,43.16,34.06,36.22,109.11,84.81
27.39,33.73,53.89,35.51,38.65,31.7,95.58,86.32
25.45,32.84,52.36,41.83,32.76,37.27,98.64,92.48
28.49,34.34,53.35,36.38,45.05,38.45,97.17,92.46
29.55,34.13,46.75,43.25,23.37,54.27,94.82,98.36
27.38,33.33,46.95,44.73,42.76,33.11,93.25,86.87
31.16,34.09,50.45,44.02,48.38,40.75,91.61,85.99
32.49,30.5,54.48,44.98,31.7,50.61,96.59,85.83
32.39,36.48,52.54,35.51,47.35,46.33,93.11,85.74
32.62,35.1,51.52,39.66,25.2,57.39,93.74,96.87
34.62,39.96,50.52,38.99,35.62,53.02,101.41,82.5
30.66,36.02,45.63,41.23,34.54,58.62,97.95,93.45
25.05,38.47,47.85,39.15,33.39,59.85,98.45,91.14
33.63,38.72,49.07,44.49,33.18,46.74,107.75,94.03
33.57,34.04,52.89,38.92,35.79,58.81,106.3,82.89
28.73,35.96,50.69,41.94,27.34,52.69,94.2,93.31
25.61,39.34,48.43,41.7,20.95,31.31,107.89,85.37
34.01,38.31,54.8,41.48,47.23,42.46,91.67,99.45
27.21,32.42,50.82,37.14,47.38,52.99,104.58,98.92
27.65,34.62,48.35,38.98,34.23,35.04,106.95,86.42
31.81,39.49,50.22,43.97,29.39,53.94,98.71,98.58
31.92,38.86,49.5,39.93,40.26,49.65,101.39,82.12
32.08,31.47,54.91,40.62,27.31,50.54,105.41,94.73
31.52,39.37,51.52,38.38,45.67,37.36,98.09,83.04
28.04,38.06,52.33,44.1,24.51,50.97,93.12,90.0
27.23,36.72,47.41,39.1,47.34,53.58,102.4,86.24
32.77,38.21,48.64,36.57,27.27,46.07,95.6,92.83
34.23,33.04,50.61,38.24,41.33,55.9,102.26,80.91
29.16,37.78,47.3,44.07,43.15,35.65,104.35,92.92
33.64,39.41,45.83,44.17,22.7,48.86,101.56,90.73
34.04,33.14,53.92,37.17,43.17,36.61,96.54,88.29
30.08,30.2,48.63,38.12,31.04,58.6,103.2,95.23
28.81,32.26,50.33,42.26,44.78,50.16,93.4,96.99
25.06,35.76,53.33,44.6,33.32,33.06,100.5,80.21
30.58,38.96,54.11,43.27,41.97,35.49,94.03,92.43
33.78,32.75,51.23,37.7,38.82,56.78,91.41,96.19
27.49,33.67,47.01,37.34,25.58,55.29,106.23,81.4
31.94,38.33,52.8,38.9,41.26,38.76,100.91,82.24
30.37,39.21,47.74,40.36,21.05,34.74,109.38,82.31
34.47,34.3,53.39,39.64,31.69,33.61,92.25,96.55
27.59,35.55,45.47,35.07,20.7,39.69,109.5,80.13
29.5,35.21,48.2,37.54,45.97,59.16,97.33,89.26
26.49,33.32,45.52,44.59,49.81,44.85,98.58,94.94
27.02,33.29,50.16,38.91,48.96,43.44,95.37,92.64
32.34,32.38,52.21,38.09,22.6,39.02,102.61,82.54
29.82,36.62,49.62,39.34,40.12,47.97,103.9,89.09
31.66,38.34,50.19,39.78,31.11,41.7,102.72,98.13
26.76,30.7,50.54,36.36,48.97,41.15,91.67,83.22
26.27,32.08,48.4,35.24,31.69,33.45,96.26,99.79
34.58,36.76,47.31,43.52,46.06,45.66,106.56,97.67
27.44,38.93,52.72,38.89,31.95,31.92,101.3,85.22
27.61,36.42,47.09,38.69,37.53,35.68,100.5,83.46
34.82,31.55,46.15,39.16,26.98,54.12,102.89,95.07
30.74,39.92,45.79,43.38,36.67,30.43,90.14,83.98
33.15,30.14,49.49,42.02,27.57,35.74,97.41,92.21
26.02,32.94,45.31,40.05,34.12,34.49,95.88,97.76
32.8,33.89,49.98,38.16,28.28,41.86,91.1,82.47
25.38,36.16,50.6,35.49,30.9,34.45,99.31,95.42
31.94,32.32,50.96,35.7,36.72,30.9,99.49,94.72
31.53,30.27,53.95,44.39,21.18,34.63,109.52,96.1
25.42,32.42,54.49,40.1,48.83,48.6,97.88,86.13
27.88,31.22,45.49,44.06,32.5,58.68,106.82,98.77
33.83,38.94,49.33,43.66,36.78,42.45,100.1,88.71
26.52,33.51,51.01,42.46,39.93,36.1,107.73,84.0
31.17,37.09,48.1,38.01,46.32,54.94,90.02,80.15
31.95,37.66,50.29,40.01,35.77,40.85,90.87,82.07
31.64,39.57,49.99,35.72,48.62,39.82,104.27,87.03
29.4,30.41,53.72,37.52,29.96,46.27,101.93,94.42
33.6,37.23,45.33,39.87,26.67,38.33,108.21,88.84
27.24,32.66,45.6,38.53,26.8,45.19,100.52,97.38
33.64,30.14,52.02,39.03,47.58,42.4,105.55,82.02
32.62,36.84,52.08,43.63,27.8,51.2,105.21,85.52
32.21,33.73,48.75,44.67,33.64,31.47,92.53,85.9
33.7,36.92,50.8,39.24,39.96,31.75,95.99,87.18
29.07,32.45,52.67,43.06,44.88,33.61,108.98,94.15
31.8,36.75,47.6,42.63,23.16,54.57,99.44,88.79
29.54,32.75,54.72,41.45,22.15,38.88,91.42,80.72
27.85,36.16,46.44,37.66,46.08,59.33,99.25,91.0
31.97,35.62,46.39,35.03,35.81,49.8,104.41,94.81
34.06,35.15,54.19,38.63,25.17,47.7,106.34,98.14
30.93,36.98,52.02,35.33,23.37,54.34,95.03,83.47
25.04,34.72,45.79,40.68,25.08,44.66,102.45,80.3
30.22,30.5,54.83,36.78,25.57,46.67,96.06,83.84
26.67,36.36,51.78,35.2,23.08,53.04,93.72,97.87
29.75,34.94,48.02,35.19,25.03,41.86,91.16,97.4
28.38,35.41,46.49,39.2,48.47,32.31,91.57,90.12
28.8,32.17,51.41,42.26,23.96,49.22,93.81,88.01
28.51,38.78,46.19,43.89,47.72,38.51,97.11,98.59
32.03,32.93,54.81,39.97,46.53,58.68,96.81,87.69
31.15,36.08,52.99,36.87,38.55,54.15,93.0,96.14
34.93,33.38,53.36,38.9,32.55,49.74,103.64,87.93
25.89,33.65,50.25,40.41,36.74,47.78,101.13,99.72
33.36,36.21,54.43,38.29,49.66,37.01,102.01,94.38
30.49,36.66,53.66,35.13,33.96,31.98,91.06,86.14
29.09,32.47,46.92,41.33,20.0,33.2,94.26,96.46
31.11,36.83,54.47,35.61,29.66,46.54,108.46,97.21
33.1,34.35,45.58,40.12,29.09,48.61,101.9,86.01
26.83,35.84,49.31,40.62,25.45,56.45,104.01,89.9
34.09,31.45,54.32,35.87,41.27,33.86,105.96,81.28
34.15,30.96,53.33,38.74,27.74,56.86,97.81,83.33
28.69,33.19,45.42,39.07,47.68,54.62,103.24,95.46
32.85,37.64,48.03,43.58,34.39,32.3,92.02,92.28
27.5,30.12,54.29,38.63,20.49,53.79,92.65,80.36
32.14,34.76,47.17,38.71,22.69,42.48,104.76,85.1
27.86,36.19,51.94,44.03,43.12,50.11,91.46,86.26
33.46,38.75,52.72,36.25,33.87,44.52,93.13,91.41
31.36,38.38,45.81,36.18,23.54,41.28,99.33,87.87
28.7,33.26,52.14,35.97,37.16,40.99,99.94,93.26
32.91,33.51,53.88,40.51,20.61,40.35,107.06,80.34
32.37,38.27,48.73,44.41,27.35,43.42,95.22,85.18
32.65,39.32,53.85,40.35,27.16,35.11,93.21,88.7
33.74,33.15,48.53,40.09,29.8,55.5,104.88,92.56
31.85,32.61,46.55,40.12,48.72,43.76,100.55,90.2
31.01,30.64,53.71,40.34,26.58,47.92,94.34,86.55
33.24,38.5,50.64,37.59,28.89,36.54,93.88,90.58
30.71,37.44,48.17,41.64,24.48,56.11,92.87,98.6
34.36,33.36,53.58,43.27,29.79,46.56,91.71,98.79
27.0,32.99,54.64,43.23,44.04,59.08,109.14,83.81
25.16,39.11,54.27,36.06,45.41,45.27,108.96,99.69
32.06,34.74,48.08,44.96,44.62,58.18,103.92,91.72
31.58,34.52,46.76,40.9,28.1,46.15,90.08,96.8
30.53,30.58,46.03,38.47,39.46,37.54,99.47,83.75
28.74,36.38,54.47,40.56,22.95,46.13,100.04,87.59
26.64,36.2,54.69,36.8,40.85,48.72,102.34,86.99
31.33,33.98,50.7,38.25,43.17,50.97,106.78,85.57
